date,country,city,latitude,longitude,region_txt,target_type,target_type2,attack_type,attack_type2,perpetrator2,perpetrator,num_of_attackers,injuries,fatalities,casualties
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1970-01-01,United States,Baraboo,43.4685,-89.744299,North America,Military,,Bombing/Explosion,,,"Weather Underground, Weathermen",,0.0,0.0,0.0
1970-01-01,United States,Cairo,37.005105,-89.176269,North America,Police,,Armed Assault,,,Black Nationalists,-99.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-01-02,United States,Madison,43.076592,-89.412488,North America,Military,,Facility/Infrastructure Attack,,,New Year's Gang,1.0,0.0,0.0,0.0
1970-01-02,United States,Oakland,37.791927,-122.225906,North America,Utilities,,Bombing/Explosion,,,Unknown,-99.0,0.0,0.0,0.0
1970-01-02,Uruguay,Montevideo,-34.891151,-56.187214,South America,Police,,Assassination,,,Tupamaros (Uruguay),3.0,0.0,0.0,0.0
1970-01-03,United States,Madison,43.07295,-89.386694,North America,Government (General),,Facility/Infrastructure Attack,,,New Year's Gang,1.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1970-01-06,United States,Denver,39.758968,-104.876305,North America,Military,,Facility/Infrastructure Attack,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-01-08,Italy,Rome,41.890961,12.490069,Western Europe,Airports & Aircraft,,Hijacking,,,Unknown,1.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-01-09,United States,Detroit,42.331685,-83.047924,North America,Government (General),,Facility/Infrastructure Attack,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-01-09,United States,Rio Piedras,18.386932,-66.061127,North America,Business,,Facility/Infrastructure Attack,,,Armed Commandos of Liberation,-99.0,0.0,0.0,0.0
1970-01-10,East Germany (GDR),Berlin,52.50153,13.401851,Eastern Europe,Government (General),,Bombing/Explosion,,,Commune 1,,,,
1970-01-11,Ethiopia,Unknown,,,Sub-Saharan Africa,Military,,Unknown,,,Eritrean Liberation Front,1.0,0.0,1.0,1.0
,,,,,,,,,,,,,,,
1970-01-12,United States,New York City,40.697132,-73.931351,North America,Educational Institution,,Bombing/Explosion,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-01-12,United States,Rio Grande,18.379998,-65.830948,North America,Business,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-01-13,United States,Seattle,47.610786,-122.331306,North America,Business,,Facility/Infrastructure Attack,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-01-14,United States,Champaign,40.116748,-88.23927,North America,Police,,Facility/Infrastructure Attack,,,Black Nationalists,-99.0,1.0,0.0,1.0
1970-01-15,Uruguay,Montevideo,-34.891151,-56.187214,South America,Educational Institution,,Armed Assault,,,Tupamaros (Uruguay),5.0,0.0,0.0,0.0
1970-01-19,United States,Jersey City,40.717892,-74.067467,North America,Violent Political Party,,Facility/Infrastructure Attack,Armed Assault,,White extremists,-99.0,0.0,0.0,0.0
1970-01-19,United States,Seattle,47.610786,-122.331306,North America,Military,,Bombing/Explosion,,,Student Radicals,2.0,0.0,0.0,0.0
1970-01-19,United States,Seattle,47.610786,-122.331306,North America,Educational Institution,,Bombing/Explosion,,,Black Nationalists,3.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-01-20,Guatemala,Guatemala City,14.622869,-90.529068,Central America & Caribbean,Government (Diplomatic),,Assassination,,,Unknown,1.0,0.0,1.0,1.0
,,,,,,,,,,,,,,,
1970-01-21,Philippines,Quezon City,14.67428,121.057495,Southeast Asia,Government (Diplomatic),,Bombing/Explosion,,,Unknown,,0.0,0.0,0.0
1970-01-22,United States,South Sioux City,42.47031,-96.413949,North America,Private Citizens & Property,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-01-22,Venezuela,Caracas,10.482834,-66.962128,South America,Business,,Hostage Taking (Kidnapping),,,Armed Forces of National Liberation- Venezuela (FALN),3.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-01-25,United States,New York City,40.697132,-73.931351,North America,Police,,Armed Assault,,,Black Nationalists,-99.0,2.0,0.0,2.0
1970-01-25,United States,West Point,33.60651,-88.650419,North America,Private Citizens & Property,,Facility/Infrastructure Attack,,,White extremists,-99.0,0.0,0.0,0.0
1970-01-26,United States,New York City,40.697132,-73.931351,North America,Police,,Armed Assault,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-01-26,United States,West Point,33.60651,-88.650419,North America,Government (General),,Bombing/Explosion,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-01-27,United States,Norwalk,41.241996,-82.615241,North America,Government (General),,Facility/Infrastructure Attack,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-01-28,East Germany (GDR),Berlin,52.50153,13.401851,Eastern Europe,Police,,Facility/Infrastructure Attack,,,Unknown,,,,
1970-01-28,United States,Seattle,47.610786,-122.331306,North America,Religious Figures/Institutions,,Bombing/Explosion,,,White extremists,-99.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-01-30,United States,Coral Gables,25.720851,-80.277857,North America,Military,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-01-30,United States,South Sioux City,42.479999,-96.413046,North America,Unknown,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-01-30,United States,South Sioux City,42.46634,-96.41405,North America,Business,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-01-31,Philippines,Bamban,15.675051,120.331618,Southeast Asia,Military,,Unknown,,,New People's Army (NPA),,1.0,0.0,1.0
1970-01-31,United States,Denver,39.758968,-104.876305,North America,Police,,Bombing/Explosion,,,Unknown,-99.0,0.0,0.0,0.0
1970-02-01,United States,Cairo,37.005105,-89.176269,North America,Police,,Armed Assault,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-02-01,United States,Portland,45.511795,-122.675629,North America,Government (General),,Facility/Infrastructure Attack,,,Left-Wing Militants,1.0,0.0,0.0,0.0
1970-02-02,United States,New York City,40.697132,-73.931351,North America,Business,,Facility/Infrastructure Attack,,,Unknown,-99.0,0.0,0.0,0.0
1970-02-03,United States,New York City,40.697132,-73.931351,North America,Business,,Facility/Infrastructure Attack,,,Unknown,-99.0,0.0,0.0,0.0
1970-02-03,United States,New York City,40.697132,-73.931351,North America,Business,,Facility/Infrastructure Attack,,,Unknown,-99.0,0.0,0.0,0.0
1970-02-04,United States,Akron,41.084195,-81.514059,North America,Private Citizens & Property,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-02-06,United States,Boston,42.3505,-71.105399,North America,Military,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-02-06,United States,Carolina,18.441963,-66.026316,North America,Business,,Facility/Infrastructure Attack,,,Armed Revolutionary Independence Movement (MIRA),-99.0,0.0,0.0,0.0
1970-02-06,United States,Denver,39.758968,-104.876305,North America,Transportation,,Bombing/Explosion,,,Black Nationalists,3.0,0.0,0.0,0.0
1970-02-06,United States,Dorado,18.460791,-66.264884,North America,Government (General),,Facility/Infrastructure Attack,,,Armed Revolutionary Independence Movement (MIRA),-99.0,0.0,0.0,0.0
1970-02-06,United States,Rio Piedras,18.386932,-66.061127,North America,Utilities,,Facility/Infrastructure Attack,,,Armed Revolutionary Independence Movement (MIRA),-99.0,0.0,0.0,0.0
1970-02-06,United States,Seattle,47.610786,-122.331306,North America,Government (General),,Bombing/Explosion,,,White extremists,-99.0,0.0,0.0,0.0
1970-02-06,United States,Seattle,47.610786,-122.331306,North America,Religious Figures/Institutions,,Bombing/Explosion,,,White extremists,-99.0,0.0,0.0,0.0
1970-02-07,United States,Whitewater,42.838355,-88.743224,North America,Educational Institution,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-02-08,United States,New York City,40.697132,-73.931351,North America,Business,,Bombing/Explosion,,,Armed Revolutionary Independence Movement (MIRA),-99.0,0.0,0.0,0.0
1970-02-08,United States,New York City,40.697132,-73.931351,North America,Business,,Bombing/Explosion,,,Armed Revolutionary Independence Movement (MIRA),-99.0,0.0,0.0,0.0
1970-02-09,United States,Batavia,39.07859,-84.179414,North America,Private Citizens & Property,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-02-09,United States,New York City,40.697132,-73.931351,North America,Business,,Bombing/Explosion,,,Armed Revolutionary Independence Movement (MIRA),1.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-02-10,West Germany (FRG),Munich,48.139126,11.580186,Western Europe,Airports & Aircraft,,Armed Assault,,,Popular Front for the Liberation of Palestine (PFLP),3.0,,1.0,
1970-02-11,United States,Ypsilanti,42.263414,-83.665281,North America,Educational Institution,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-02-13,United States,Berkeley,37.874043,-122.280022,North America,Police,,Bombing/Explosion,,,Black Nationalists,-99.0,7.0,0.0,7.0
1970-02-13,United States,Berkeley,37.874043,-122.280022,North America,Police,,Bombing/Explosion,,,Unknown,,7.0,0.0,7.0
1970-02-13,West Germany (FRG),Munich,48.139126,11.580186,Western Europe,Private Citizens & Property,,Facility/Infrastructure Attack,,,Popular Front for the Liberation of Palestine (PFLP),,9.0,7.0,16.0
1970-02-15,United States,Eugene,44.04483,-123.072606,North America,Military,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,1.0,0.0,1.0
1970-02-15,United States,New York City,40.697132,-73.931351,North America,Business,,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-02-16,United States,Berkeley,37.874043,-122.280022,North America,Business,,Bombing/Explosion,,,Unknown,,0.0,0.0,0.0
1970-02-16,United States,Berkeley,37.874043,-122.280022,North America,Business,,Bombing/Explosion,,,Unknown,,0.0,0.0,0.0
1970-02-16,United States,San Francisco,37.755363,-122.443352,North America,Police,,Armed Assault,,,Left-Wing Militants,1.0,0.0,0.0,0.0
1970-02-16,United States,San Francisco,37.755363,-122.443352,North America,Police,,Bombing/Explosion,,,Unknown,,0.0,1.0,1.0
1970-02-17,United States,Buckeystown,39.334825,-77.431653,North America,Utilities,,Bombing/Explosion,,,Unknown,-99.0,0.0,0.0,0.0
1970-02-17,United States,Covington,30.493919,-90.132512,North America,Educational Institution,,Bombing/Explosion,,,White extremists,-99.0,0.0,0.0,0.0
1970-02-17,United States,Oakland,37.791927,-122.225906,North America,Business,,Bombing/Explosion,,,Unknown,-99.0,0.0,0.0,0.0
1970-02-17,United States,Seattle,47.610786,-122.331306,North America,Military,,Bombing/Explosion,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-02-18,United States,Cleveland,41.479561,-81.675461,North America,Police,,Bombing/Explosion,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-02-18,United States,Vallejo,38.10083,-122.254954,North America,Police,,Bombing/Explosion,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-02-20,United States,Hartford,41.763325,-72.674069,North America,Government (General),,Facility/Infrastructure Attack,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-02-20,United States,New York City,40.697132,-73.931351,North America,Educational Institution,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-02-20,United States,Seattle,47.610786,-122.331306,North America,Educational Institution,,Bombing/Explosion,,,Student Radicals,-99.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-02-21,Switzerland,Zurich,47.36865,8.539182,Western Europe,Airports & Aircraft,,Bombing/Explosion,,,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",,0.0,47.0,47.0
,,,,,,,,,,,,,,,
1970-02-21,United States,Denver,39.758968,-104.876305,North America,Private Citizens & Property,,Facility/Infrastructure Attack,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-02-21,United States,New York City,40.697132,-73.931351,North America,Private Citizens & Property,,Bombing/Explosion,,,"Weather Underground, Weathermen",4.0,0.0,0.0,0.0
1970-02-21,United States,New York City,40.697132,-73.931351,North America,Military,,Facility/Infrastructure Attack,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-02-21,United States,New York City,40.697132,-73.931351,North America,Police,,Facility/Infrastructure Attack,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-02-21,West Germany (FRG),Frankfurt,50.11797,8.644191,Western Europe,Airports & Aircraft,,Bombing/Explosion,,,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",4.0,0.0,0.0,0.0
1970-02-22,United States,Ithaca,42.455233,-76.475847,North America,Educational Institution,,Facility/Infrastructure Attack,,,White extremists,-99.0,0.0,0.0,0.0
1970-02-22,United States,Prairie du Sac,43.287052,-89.724361,North America,Utilities,,Bombing/Explosion,,,New Year's Gang,1.0,0.0,0.0,0.0
1970-02-23,United States,South Sioux City,42.47031,-96.413949,North America,Utilities,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-02-23,United States,South Sioux City,42.47031,-96.413949,North America,Utilities,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-02-23,United States,South Sioux City,42.47031,-96.413949,North America,Utilities,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-02-23,United States,South Sioux City,42.47031,-96.413949,North America,Utilities,,Bombing/Explosion,,,Strikers,-99.0,0.0,0.0,0.0
1970-02-23,United States,Tucson,32.222232,-110.925752,North America,Military,,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-02-24,United States,Champaign,40.101952,-88.227161,North America,Military,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-02-24,United States,Denver,39.758968,-104.876305,North America,Private Citizens & Property,,Bombing/Explosion,,,White extremists,-99.0,0.0,0.0,0.0
1970-02-27,United States,Boulder,40.007581,-105.265942,North America,Educational Institution,,Bombing/Explosion,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-02-28,Jordan,Hebron,31.530243,35.094162,Middle East & North Africa,Tourists,,Armed Assault,,,Unknown,,,,
,,,,,,,,,,,,,,,
1970-03-01,Italy,Rome,41.890961,12.490069,Western Europe,Airports & Aircraft,,Bombing/Explosion,,,Eritrean Liberation Front,,0.0,0.0,0.0
1970-03-01,United States,Boulder,40.007581,-105.265942,North America,Police,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-03-01,United States,Boulder,40.007581,-105.265942,North America,Military,,Bombing/Explosion,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-03-01,United States,Boulder,40.014986,-105.270546,North America,Police,,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-03-01,United States,Colorado Springs,38.864281,-104.778412,North America,Military,,Facility/Infrastructure Attack,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-03-02,United States,Cleveland,41.479561,-81.675461,North America,Private Citizens & Property,Police,Facility/Infrastructure Attack,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-03-03,Spain,Unknown,,,Western Europe,Government (General),,Hostage Taking (Kidnapping),,,1st of May Group,3.0,0.0,0.0,0.0
1970-03-03,United States,Denver,39.758968,-104.876305,North America,Private Citizens & Property,,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-03-03,United States,Seattle,47.610786,-122.331306,North America,Government (General),,Bombing/Explosion,,,Student Radicals,4.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-03-04,United States,Denver,39.758968,-104.876305,North America,Private Citizens & Property,,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-03-04,United States,Martinez,38.019304,-122.134062,North America,Transportation,,Bombing/Explosion,,,Unknown,-99.0,0.0,0.0,0.0
1970-03-04,United States,Oakland,37.791927,-122.225906,North America,Military,,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-03-05,United States,Denver,39.758968,-104.876305,North America,Private Citizens & Property,,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-03-05,United States,San Juan,18.386932,-66.061127,North America,Military,,Assassination,,Armed Revolutionary Independence Movement (MIRA),Armed Commandos of Liberation,-99.0,0.0,2.0,2.0
1970-03-05,United States,Seattle,47.610786,-122.331306,North America,Government (General),,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-03-06,Guatemala,Guatemala City,14.622869,-90.529068,Central America & Caribbean,Government (Diplomatic),,Hostage Taking (Kidnapping),,,Rebel Armed Forces of Guatemala (FAR),,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-03-06,United States,Detroit,42.331685,-83.047924,North America,Police,,Bombing/Explosion,,,"Weather Underground, Weathermen",-99.0,0.0,0.0,0.0
1970-03-06,United States,Detroit,42.331685,-83.047924,North America,Police,,Bombing/Explosion,,,"Weather Underground, Weathermen",-99.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-03-09,United States,Albuquerque,35.084319,-106.619781,North America,Military,,Bombing/Explosion,,,White extremists,-99.0,0.0,0.0,0.0
1970-03-09,United States,Ashville,33.83651,-86.254749,North America,Private Citizens & Property,,Facility/Infrastructure Attack,,,Ku Klux Klan,,0.0,0.0,0.0
1970-03-09,United States,Bel Air,39.53894,-76.348479,North America,Unknown,,Bombing/Explosion,,,Black Nationalists,2.0,0.0,2.0,2.0
1970-03-09,United States,Berkeley,37.874043,-122.280022,North America,Educational Institution,,Facility/Infrastructure Attack,,,Unknown,,0.0,0.0,0.0
1970-03-09,United States,Bridgeport,41.18188,-73.191269,North America,Religious Figures/Institutions,,Facility/Infrastructure Attack,,,White extremists,-99.0,0.0,0.0,0.0
1970-03-10,United States,Cambridge,38.563122,-76.078063,North America,Government (General),,Bombing/Explosion,,,Left-Wing Militants,1.0,0.0,0.0,0.0
1970-03-10,United States,San Francisco,37.755363,-122.443352,North America,Business,Educational Institution,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-03-10,West Germany (FRG),Munich,48.139126,11.580186,Western Europe,Government (General),,Bombing/Explosion,,,Unknown,,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-03-11,Brazil,Sao Paulo,-23.550711,-46.633475,South America,Government (Diplomatic),,Hostage Taking (Kidnapping),,,Popular Revolutionary Vanguard (VPR),6.0,0.0,0.0,0.0
1970-03-11,United States,Champaign,40.102408,-88.227159,North America,Military,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-03-12,United States,Chicago,41.842602,-87.681229,North America,Police,,Bombing/Explosion,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-03-12,United States,Chicago,41.842602,-87.681229,North America,Police,,Bombing/Explosion,,,Black Nationalists,-99.0,0.0,0.0,0.0
1970-03-12,United States,New York City,40.697132,-73.931351,North America,Business,,Bombing/Explosion,,,Revolutionary Force 9,-99.0,0.0,0.0,0.0
1970-03-12,United States,New York City,40.697132,-73.931351,North America,Business,,Bombing/Explosion,,,Revolutionary Force 9,,0.0,0.0,0.0
1970-03-12,United States,New York City,40.697132,-73.931351,North America,Business,,Bombing/Explosion,,,Revolutionary Force 9,,0.0,0.0,0.0
1970-03-13,United States,Appleton,44.260288,-88.397455,North America,Military,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-03-13,United States,Appleton,44.268598,-88.42844,North America,Educational Institution,,Facility/Infrastructure Attack,,,Student Radicals,-99.0,0.0,0.0,0.0
1970-03-14,Egypt,Alexandria,31.198056,29.919167,Middle East & North Africa,Airports & Aircraft,,Bombing/Explosion,,,Unknown,,2.0,0.0,2.0
1970-03-14,Ethiopia,Unknown,,,Sub-Saharan Africa,Journalists & Media,Unknown,Hostage Taking (Kidnapping),,,Eritrean Liberation Front,,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-03-14,United States,Long Beach,33.766725,-118.192399,North America,Military,,Hijacking,,,Left-Wing Militants,2.0,0.0,0.0,0.0
1970-03-14,United States,New York City,40.697132,-73.931351,North America,Military,,Bombing/Explosion,,,Left-Wing Militants,-99.0,0.0,0.0,0.0
1970-03-15,United States,Billings,45.783975,-108.505794,North America,Police,,Bombing/Explosion,,,Unknown,-99.0,0.0,0.0,0.0
1970-03-15,United States,San Juan,18.386932,-66.061127,North America,Business,,Bombing/Explosion,,,Puerto Rican Nationalists,-99.0,0.0,0.0,0.0
1970-03-16,United States,San Bernardino,34.105245,-117.294124,North America,Government (General),,Facility/Infrastructure Attack,,,White extremists,-99.0,1.0,0.0,1.0
1970-03-17,United States,Los Angeles,34.097866,-118.407379,North America,Educational Institution,,Bombing/Explosion,,,Chicano Liberation Front,-99.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-03-18,United States,Lockland,39.226835,-84.453309,North America,Utilities,,Bombing/Explosion,,,Unknown,-99.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
1970-03-20,United States,Detroit,42.331685,-83.047924,North America,Private Citizens & Property,,Assassination,,,White extremists,-99.0,0.0,1.0,1.0
1970-03-20,United States,Portland,45.511795,-122.675629,North America,Military,,Bombing/Explosion,,,White extremists,-99.0,0.0,0.0,0.0
